State,gunOwnership,totalGuns
Montana,0.663,22133
Wyoming,0.662,132806
Alaska,0.645,15824
Idaho,0.601,49566
West Virginia,0.585,35264
Arkansas,0.572,79841
Mississippi,0.558,35494
Alabama,0.555,161641
South Dakota,0.553,21130
North Dakota,0.551,13272
Oklahoma,0.547,71269
Kentucky,0.546,81058
Louisiana,0.531,116831
Tennessee,0.516,99159
Oregon,0.508,61383
Vermont,0.505,5872
South Carolina,0.494,105601
Georgia,0.492,190050
Kansas,0.489,52634
Missouri,0.488,72995
Nevada,0.473,76888
Maine,0.468,15371
Utah,0.468,72856
Arizona,0.463,179738
New Mexico,0.462,97580
North Carolina,0.458,152238
Texas,0.457,588696
Wisconsin,0.453,64878
Nebraska,0.452,22234
Colorado,0.451,92435
Indiana,0.448,114019
Virginia,0.446,307822
Iowa,0.436,28494
Minnesota,0.428,79307
Washington,0.421,91835
New Hampshire,0.411,64135
Pennsylvania,0.407,236377
Michigan,0.402,65742
Ohio,0.4,173405
Florida,0.353,343288
Delaware,0.344,4852
Maryland,0.302,103109
California,0.283,344622
Illinois,0.278,146487
Connecticut,0.236,82400
New York,0.199,76207
Hawaii,0.149,7859
Rhode Island,0.148,4223
Massachusetts,0.147,37152
New Jersey,0.147,57505
