State,MedianHouseholdIncome,AvgHouseholdIncome
Alabama,52035,71964
Alaska,77790,98811
Arizona,61529,84380
Arkansas,49475,69357
California,78672,111622
Colorado,75231,100933
Connecticut,79855,115337
Delaware,69110,92308
Florida,57703,83104
Georgia,61224,85691
Hawaii,83173,107348
Idaho,58915,77399
Illinois,68428,95115
Indiana,58235,76984
Iowa,61836,80316
Kansas,61091,82103
Kentucky,52238,72318
Louisiana,50800,73759
Maine,59489,78301
Maryland,87063,114236
Massachusetts,84385,115964
Michigan,59234,80803
Minnesota,73382,96814
Mississippi,46511,65156
Missouri,57290,78194
Montana,56539,76834
Nebraska,63015,82306
Nevada,62043,84350
New Hampshire,77923,101292
New Jersey,85245,117868
New Mexico,51243,70241
New York,71117,105304
North Carolina,56642,79620
North Dakota,65315,85506
Ohio,58116,78797
Oklahoma,53840,74195
Oregon,65667,88137
Pennsylvania,63627,87262
Rhode Island,70305,92427
South Carolina,54864,76390
South Dakota,59896,77932
Tennessee,54833,76937
Texas,63826,89506
Utah,74197,94452
Vermont,63477,83767
Virginia,76398,106023
Washington,77006,103669
West Virginia,48037,65332
Wisconsin,63293,82757
Wyoming,65304,83583
